authors,cover,formats,publisher,size,tags,title
"An Alsanian","/home/sigma/Documents/Ebooks/An Alsanian/The Memory of the Machine (6)/cover.jpg","azw3","Alsania I/O","619523","","The Memory of the Machine"
"An Alsanian","/home/sigma/Documents/Ebooks/An Alsanian/The Memory of the Machine (7)/cover.jpg","epub","Alsania I/O","425354","","The Memory of the Machine"
"An Alsanian","/home/sigma/Documents/Ebooks/An Alsanian/The Memory of the Machine (8)/cover.jpg","pdf","Alsania I/O","928145","","The Memory of the Machine"
"An Alsanian","/home/sigma/Documents/Ebooks/An Alsanian/The Memory of the Machine (9)/cover.jpg","md","Alsania I/O","621340","","The Memory of the Machine"
